AI_Tool,Accuracy,Energy,Latency,Green_Verdict
OpenAI (400k),Low,Medium,Medium,Moderate
Anthropic (200k),High,High,Low,Moderate
Google (1m),Medium,Medium,Medium,Moderate
OpenAI (400k),High,Medium,Medium,Moderate
Google (1m),High,Low,Low,Optimal
OpenAI (400k),Medium,Low,Low,Moderate
Anthropic (200k),Medium,Low,Low,Moderate
Anthropic (1m),Low,High,Low,Moderate
Z AI (200k),Low,Medium,Low,Moderate
OpenAI (400k),Medium,Medium,Medium,Moderate
xAI (256k),High,Low,Low,Optimal
DeepSeek (128k),High,High,Low,Moderate
OpenAI (200k),Medium,Medium,Low,Moderate
OpenAI (400k),Low,Low,High,Moderate
Google (1m),Medium,Low,Low,Poor
Kimi (256k),High,Low,Low,Optimal
MiniMax (205k),Low,Low,Low,Poor
Xiaomi (256k),Medium,Medium,Low,Moderate
xAI (2m),High,Medium,Low,Optimal
OpenAI (400k),Low,Low,Low,Poor
Anthropic (1m),Medium,Medium,Low,Moderate
Anthropic (200k),High,Low,Low,Optimal
KwaiKAT (256k),Low,Low,Low,Poor
MiniMax (205k),Medium,Medium,Low,Moderate
Amazon (256k),High,Medium,Medium,Moderate
Google (1m),Low,Medium,Low,Moderate
xAI (2m),Medium,Low,Low,Moderate
Google (1m),High,Medium,Medium,Moderate
DeepSeek (128k),High,Medium,Low,Optimal
Z AI (200k),Medium,Low,Low,Moderate
DeepSeek (128k),Low,Medium,Low,Moderate
ByteDance Seed (256k),Medium,Low,Low,Moderate
OpenAI (400k),Medium,Low,Low,Moderate
OpenAI (131k),Medium,High,Low,Moderate
Alibaba (262k),Medium,High,Low,Moderate
xAI (1m),High,Medium,Low,Optimal
Amazon (256k),High,Low,Low,Optimal
LG AI Research (256k),Medium,Low,Low,Poor
DeepSeek (128k),Medium,Medium,Low,Moderate
Alibaba (262k),Low,Medium,Low,Moderate
Anthropic (200k),Medium,Low,Low,Moderate
Xiaomi (256k),Medium,Medium,Low,Moderate
Amazon (1m),High,Low,Medium,Moderate
Alibaba (256k),Medium,High,Low,Moderate
Baidu (128k),Medium,Low,Low,Moderate
Alibaba (256k),High,Medium,Low,Optimal
DeepSeek (128k),Medium,Low,Low,Moderate
Amazon (1m),High,Medium,Low,Optimal
Kimi (256k),Low,Medium,Low,Moderate
ServiceNow (128k),High,Low,Low,Optimal
Alibaba (262k),Medium,High,Low,Moderate
Mistral (128k),Medium,Medium,Low,Moderate
DeepSeek (128k),Medium,High,Low,Moderate
OpenAI (400k),Medium,High,High,Moderate
Alibaba (262k),Medium,Medium,Low,Moderate
xAI (256k),Low,High,Low,Moderate
Amazon (1m),Low,Low,Low,Poor
Alibaba (262k),High,Low,Low,Optimal
